product_id,product,segment_id,segment,buyer_type,universe,wtp_ceiling_usd,icp_fit,problem_intensity,price_fit,readiness,analog_success,distribution_fit,switching_ease,competition_ease,S,raw_model_p,analog_rate,analog_coverage,analog_names,P_adopt,expected_adopters,confidence
NOTE_VOICE_STUDENT,Voice notes for students,HK_STUDENT_16_24,HK students 16–24,b2c,380000,8.0,0.92,0.86,0.8312499999999999,0.72,0.6548288414014038,1.0,0.75,0.52,0.8185760377961965,0.45059537360137464,0.14406234510830884,1.0,"Notability, GoodNotes, Notion",0.1906386579540612,72442.69002254326,0.95
NOTE_VOICE_STUDENT,Voice notes for students,HK_YOUNG_PRO_25_34,HK young professionals 25–34,b2c,920000,15.0,0.55,0.48,1.0,0.55,0.6548288414014038,1.0,0.75,0.52,0.6795760377961966,0.30791917170301825,0.14406234510830884,1.0,"Notability, GoodNotes, Notion",0.21779791707592808,200374.08370985382,0.91
NOTE_VOICE_STUDENT,Voice notes for students,HK_FAMILY_SME,HK family-owned SMEs,b2b,280000,40.0,0.08,0.1,1.0,0.18,0.6548610440795505,0.45,0.75,0.52,0.4085805461711371,0.11896735029809322,0.1440694296975011,1.0,"Notability, GoodNotes, Notion",0.030243879162511464,8468.28616550321,0.816
NOTE_VOICE_STUDENT,Voice notes for students,HK_MIDMARKET,HK mid-market firms 50–499 staff,b2b,18000,250.0,0.08,0.12,1.0,0.42,0.6548610440795505,0.15,0.75,0.52,0.41538054617113707,0.1221393141011146,0.1440694296975011,1.0,"Notability, GoodNotes, Notion",0.030973430837206384,557.5217550697149,0.816
NOTE_VOICE_STUDENT,Voice notes for students,APAC_CONSULTING,APAC consulting / professional services,b2b,4200,800.0,0.08,0.15,1.0,0.7,0.6548610440795505,0.15,0.75,0.52,0.4593805461711371,0.14446056840383117,0.1440694296975011,1.0,"Notability, GoodNotes, Notion",0.03610731932683119,151.650741172691,0.816
CORP_VOICE_AGENT,Corporate voice agent,HK_STUDENT_16_24,HK students 16–24,b2c,380000,8.0,0.08,0.05,0.02,0.88,0.5509972654503855,0.15,0.35,0.76,0.284439617163054,0.07252962968868977,0.12121939839908481,1.0,"Intercom Fin, Aircall, Einstein / Agentforce",0.008,3040.0,0.816
CORP_VOICE_AGENT,Corporate voice agent,HK_YOUNG_PRO_25_34,HK young professionals 25–34,b2c,920000,15.0,0.08,0.18,0.02,0.8,0.5509972654503855,0.15,0.35,0.76,0.294039617163054,0.07542288722939988,0.12121939839908481,1.0,"Intercom Fin, Aircall, Einstein / Agentforce",0.008,7360.0,0.816
CORP_VOICE_AGENT,Corporate voice agent,HK_FAMILY_SME,HK family-owned SMEs,b2b,280000,40.0,0.22,0.2,0.02,0.28,0.5509972654503855,0.45,0.35,0.76,0.285239617163054,0.07276677344344072,0.12121939839908481,1.0,"Intercom Fin, Aircall, Einstein / Agentforce",0.023183477594433975,6491.373726441513,0.844
CORP_VOICE_AGENT,Corporate voice agent,HK_MIDMARKET,HK mid-market firms 50–499 staff,b2b,18000,250.0,0.62,0.58,0.044000000000000046,0.55,0.5513676210419529,1.0,0.35,0.76,0.5307314669458735,0.1877370894627848,0.12130087662922964,1.0,"Intercom Fin, Aircall, Einstein / Agentforce",0.060740849043558136,1093.3352827840465,0.924
CORP_VOICE_AGENT,Corporate voice agent,APAC_CONSULTING,APAC consulting / professional services,b2b,4200,800.0,0.9,0.8,1.0,0.84,0.5483402064467247,1.0,0.35,0.76,0.8206676289025415,0.452874681223858,0.12063484541827942,1.0,"Einstein / Agentforce, Microsoft 365 Copilot, Intercom Fin",0.15385882899883727,646.2070817951166,0.95
