scenario,family,P_adopt,delta_vs_base
base,base,0.0266,0.0000
price=$40,price,0.0745,0.0479
price=$99,price,0.0266,0.0000
price=$199,price,0.0266,0.0000
price=$480,price,0.0266,0.0000
price=$800,price,0.0266,0.0000
WTP=$20,wtp,0.0266,0.0000
WTP=$40,wtp,0.0266,0.0000
WTP=$120,wtp,0.0266,0.0000
WTP=$250,wtp,0.0284,0.0018
WTP=$500,wtp,0.0793,0.0527
maturity=0.15,maturity,0.0251,-0.0015
maturity=0.28,maturity,0.0266,0.0000
maturity=0.50,maturity,0.0294,0.0028
maturity=0.70,maturity,0.0321,0.0055
maturity=0.85,maturity,0.0343,0.0077
note,Corporate voice agent × HK family SME. Rescored 19 Sep with published weights.
