product,segment,buyer,universe,icp_fit,problem,price_fit,readiness,analog_z,dist_fit,switch_ease,comp_ease,S,P_adopt,expected_adopters,confidence,analog_rate,coverage,nearest_analogs
Corporate voice agent,APAC consulting / professional services,b2b,4200,0.9,0.8,1,0.84,0.5483,1,0.35,0.76,0.8207,0.1539,646,0.95,0.1206,1,"Einstein / Agentforce, Microsoft 365 Copilot, Intercom Fin"
Corporate voice agent,HK mid-market firms 50-499 staff,b2b,18000,0.62,0.58,0.044,0.55,0.5514,1,0.35,0.76,0.5307,0.0607,1093,0.924,0.1213,1,"Intercom Fin, Aircall, Einstein / Agentforce"
Corporate voice agent,HK family-owned SMEs,b2b,280000,0.22,0.2,0.02,0.28,0.5510,0.45,0.35,0.76,0.2852,0.0232,6491,0.844,0.1212,1,"Intercom Fin, Aircall, Einstein / Agentforce"
Corporate voice agent,HK students 16-24,b2c,380000,0.08,0.05,0.02,0.88,0.5510,0.15,0.35,0.76,0.2844,0.0080,3040,0.816,0.1212,1,"Intercom Fin, Aircall, Einstein / Agentforce"
Corporate voice agent,HK young professionals 25-34,b2c,920000,0.08,0.18,0.02,0.8,0.5510,0.15,0.35,0.76,0.2940,0.0080,7360,0.816,0.1212,1,"Intercom Fin, Aircall, Einstein / Agentforce"
Voice notes for students,HK young professionals 25-34,b2c,920000,0.55,0.48,1,0.55,0.6548,1,0.75,0.52,0.6796,0.2178,200374,0.91,0.1441,1,"Notability, GoodNotes, Notion"
Voice notes for students,HK students 16-24,b2c,380000,0.92,0.86,0.8313,0.72,0.6548,1,0.75,0.52,0.8186,0.1906,72443,0.95,0.1441,1,"Notability, GoodNotes, Notion"
Voice notes for students,APAC consulting / professional services,b2b,4200,0.08,0.15,1,0.7,0.6549,0.15,0.75,0.52,0.4594,0.0361,152,0.816,0.1441,1,"Notability, GoodNotes, Notion"
Voice notes for students,HK mid-market firms 50-499 staff,b2b,18000,0.08,0.12,1,0.42,0.6549,0.15,0.75,0.52,0.4154,0.0310,558,0.816,0.1441,1,"Notability, GoodNotes, Notion"
Voice notes for students,HK family-owned SMEs,b2b,280000,0.08,0.1,1,0.18,0.6549,0.45,0.75,0.52,0.4086,0.0302,8468,0.816,0.1441,1,"Notability, GoodNotes, Notion"
