scenario,family,P_adopt,delta_vs_base
base,base,0.0232,0.0000
price=$40,price,0.0721,0.0489
price=$99,price,0.0233,0.0001
price=$199,price,0.0232,0.0000
price=$480,price,0.0232,0.0000
price=$800,price,0.0232,0.0000
WTP=$20,wtp,0.0232,0.0000
WTP=$40,wtp,0.0232,0.0000
WTP=$120,wtp,0.0232,0.0000
WTP=$250,wtp,0.0248,0.0016
WTP=$500,wtp,0.0769,0.0537
maturity=0.15,maturity,0.0216,-0.0016
maturity=0.28,maturity,0.0232,0.0000
maturity=0.50,maturity,0.0262,0.0030
maturity=0.70,maturity,0.0292,0.0060
maturity=0.85,maturity,0.0316,0.0085
